ФИО;Группа;Кафедра;Средний балл с 2;Средний балл без 2
f15b46c3c9831aee808f8ce0a1cc6196;214;СА;5,00;5,00
6f2a8a208b5c2e11813388784a59d255;209;АЯ;3,89;4,12
c8d159d55fedbf0b75b5d7bb889c4176;212;СА;3,15;3,35
cc99e8cdc5d4e9f9b1a4368e9ec09d33;206;ВТМ;3,05;3,29
4f10474d87416165f936c7f491333a76;209;АЯ;3,65;4,06
e510a6cb753155ffdf0b29b94f66abd2;241;МФ;3,58;3,67
d8480e2b578e39cdcbb8233feb15bd32;216;МС;3,84;4,06
1303d06da175f2e040969bc94dc605de;213;АСВК;4,41;4,41
e5791da8920cf1f611f7c5523b1030c1;212;СП;3,47;3,65
ecf315949c806a17df25d4de26b8eee7;217;ИО;3,63;3,63
03e10d8cf362ccabe8eec2f6f014e386;207;МФ;3,09;3,41
cefde5f21c8e8496d5948b5d0b94b419;206;АЯ;4,47;4,63
373fd106c3144ff7a52f90c9c053f3f0;204;ВМ;3,42;3,59
e34435e628317ee96d9d4c2e1de6a2ea;218;ВМ;2,89;3,56
f11c284eb5c8d634e711781d237e96fc;217;СА;4,75;4,75
8d6254c645c7ceb09b59bdd5f3fae348;207;МФ;4,22;4,35
12da9e8f770931ed99149b1285cdecd5;215;ИИТ;4,22;4,35
a036b533c514894bb7c349d75c4178ef;217;ФАиП;3,24;3,31
e22022340ad2eda4a46cd9b58c0cd1d1;212;МФ;3,63;3,63
e55d2416db04f0e969b0fad159189693;212;ВМ;3,61;3,71
9f11b1f46a3681b8675f51270ec0593f;206;ИО;3,40;3,65
cc70ab174d835e49b105345c1f7a4edf;216;НДСиПУ;4,17;4,29
70035125871a1925b38eb82b782c9d9f;218;ИБ;4,16;4,41
381a6cf9b5e4ae7d8c9377ac86ad52a2;213;МФ;3,68;3,88
ce43e409eb514b1f41d2d24dc5b70a46;202;ИИТ;4,76;4,76
a498dcbefd7628f53bc7efd6d5d62083;210;ИИТ;4,71;4,71
e907b215a1d94410437ecec09eb281e2;202;МС;4,22;4,35
4dbe4bc7e15a914a7f5daa3fcc4d288c;241;АЯ;3,57;3,83
93ca698c09be80be8911e32c0475dd26;204;АЯ;4,33;4,47
36d57eff2006d9d01118104260911144;215;СП;4,29;4,29
0af8aef004c6ae39111bfa52ab711675;215;АСВК;4,65;4,65
b1187269705d272aa04baed05c88fb6a;217;АНИ;2,96;3,53
8d75fb1cee4e1c339d0e2976ac248d23;202;ИО;2,92;3,29
8bd2604d0dba417f91bde7e152087977;216;МС;4,47;4,47
e77a3ff6d1f0a09086ea6ac25220e9b0;211;СКИ;4,53;4,53
ad5c3695764d1e9608222ff185717fc1;209;ИИТ;4,71;4,71
1fdada46cb2ae553a0dff5b3d1c06fc1;208;СП;3,47;3,56
85fd6bb64e12a79967257ce26ab81981;218;АЯ;4,21;4,47
cc8aeeaf844e668f1b56579650b56bdf;213;ИО;3,18;3,25
54d1e6f0e512c5674fe4ba7d931a52fb;216;ОМ;4,11;4,38
758f62e160af2ecafc1157598f920be3;212;МФ;4,53;4,53
cab62cadab3d0be88be3590d921eb48b;203;АСВК;3,78;3,88
ccd8a0e898de0e1ab475481aa0107ce9;211;ИО;3,70;4,00
57c762ea5918674b3f4e5a41224ec5b2;217;НДСиПУ;4,18;4,18
6f8381d4dde03a3ac559ccd5bdc3f7da;202;СП;3,78;3,88
39940aec1166a6166485ab018247db55;210;АСВК;4,56;4,71
d53f22b16a9b400ec7b3d268fe67ce7d;206;СП;4,18;4,18
faaa417451528b5d3440c333c41af142;212;СКИ;4,76;4,76
4d844c639fe2f467768a4f913d145e34;203;ИИТ;4,76;4,76
1f1f964cfb57eba2dd8c332f9f9131a6;205;НДСиПУ;4,00;4,24
bba43a316bbd59151975a3bc8b991279;214;ВМ;2,88;3,38
d190443d4a96a190f26b151284ec1277;202;АНИ;4,06;4,06
50b31923b8089d12579439288813afd6;218;ИО;3,00;3,25
1539789c3fb7d76baeac54fbc73e7063;208;ММП;4,59;4,59
1d78831a9762151d35cb0d97669182f1;209;АСВК;4,11;4,35
0a613715462355d0f4081ce395426da5;213;НДСиПУ;4,00;4,00
7e8028f77e0d4298df94a1b0e1e1824e;201;АНИ;3,79;4,00
d80800e7a98d8b7bc4125d22e8fb2845;210;ИБ;4,41;4,41
c7e089636084fb2dd99260817e1b57e8;208;ОУ;3,67;3,76
6465f014b6edaf058b42b58e3dacd355;241;НДСиПУ;3,50;3,67
37c2863b1614c7eb6cc248ee3b7d1fe5;203;МС;4,59;4,59
84bb9e8949725b1dc76f7de39bfbc39e;207;ИБ;3,72;3,82
a342dc017418a4be994135847ee2a390;241;ИБ;3,52;3,78
17dea34cd8098e1646d05318fc3fb80a;201;ИО;4,00;4,00
d60b8e5f34564a991de6733cebbf2ad0;216;ММП;4,41;4,41
610e0ad7bda305dfef2017244092bc6d;213;МС;4,71;4,71
45f97eeea4ee902002e16ad515c62b8b;204;ИИТ;4,88;4,88
ee76498b22c3bbdde753d0267f678fa7;214;СП;3,33;3,65
95e60f9696dd10c91c3fa005f564bd7d;214;АЯ;3,88;3,88
4b55284b1aa948e4df2ed120dd945af9;205;СКИ;4,22;4,35
749f4337423e3c2f5d0ba0d3723dd0d1;214;ИБ;4,67;4,82
