ФИО;Группа;Кафедра;Средний балл с 2
ca9e1f63cfbc38696cbb5bae45bd6946;201;АЯ;4,44
9c66556c175f8bf0fdedcd3f749f4f4b;201;АЯ;4,94
4df00152040e09adf075364d8d7e76b0;202;ИБ;3,26
e7f8074abff79456338c164d1d835c88;208;СА;4,11
a216f78939cbf770d9dbbe0a4d29e75f;212;ВМ;4,22
495fecf09bb7acf26eaf4746c5c26893;212;ИО;3,7
910767b98d7d443f2eccde1b05ba15d6;214;АСВК;4,00
0e0341082910e9eb84715601e1f6c410;207;МФ;3,5
ff3c65b14067f949e358473befdb06e3;202;АСВК;4,17
27ab7a6f5ad315df6f6a6189a4415d93;214;НДСиПУ;3,25
7fe232a97024968ea6f57dc41da11a3d;210;МС;4,61
5cc73c1bbaba5ee24ac96370fffab1c8;216;АЯ;4,88
089c7ab5bb8a7ab8c9f723f732f6d953;210;ВМ;3,35
719e84484a0dc8a339f78cbb2226eb4e;204;ИБ;4,24
ebdb9561b0727708e609f09a38fff336;213;МС;4,53
a6bd655ebd9b17d8fdded27c0c828013;210;СП;4,82
f6ff647dc84834e398055b568d009f69;241;СКИ;4,5
b1743d28b6aa872f2ed53201dbfc4ec5;209;АНИ;2,64
2fe9e0d6ab599cddd3695489994e6bf4;218;НДСиПУ;3,83
ef1b4ca50ffb6e2d90e6465558dad033;201;ММП;5,00
a56e7f99132a933f9c0fa61fbad070a4;210;ММП;4,94
190df3ba0545a0f35b4919f5de57a4b9;204;ИБ;4,12
6785b4928f62d44a86ad858ef22f3596;206;АЯ;3,83
732aa11a3f4b742cf26b4b1727ee1d66;217;МС;3,72
37686c3ad9f25df38c36c32522dc1b5f;206;АЯ;3,43
f53cedd19f45383b7398b6df4df89144;217;МК;3,9
ac02105f6017d796423069bdc5ce770c;205;СА;4,76
da4aae6aaa1fe3cb2e474de7bb604954;213;ИБ;4,44
531ff5d6366e9289a9619d8db4a9e64a;212;ИИТ;4,88
35c4b4e8b24bce11e2a3cd551ea7c1bb;201;ИИТ;4,22
a8f4aee7b5b1a8be99a5673e97ee2797;208;СА;3,22
79afc67f8a8767e51eb8aec32161d056;208;СП;4,88
82461f84e4d29062276bc496030b1185;216;ИО;4,06
fa8461d15e13c9afb33e1f5e3b4e829a;201;АНИ;3,8
a563568510184f76f5d6321a073ebf96;215;НДСиПУ;4,41
2d151730d2822511073fef827c38f2e7;207;ВМ;4,53
6d5e24258dccf03f431dd2834240953d;241;АНИ;4,72
8645f2d4f3a03cb5de15b1ecdad393b7;205;ОУ;3,8
efeccd92290b1e0de3c9fb27b2d9b6bf;215;СП;4,82
7bac1a70bf5ec084f11fee43afd217db;207;СА;4,11
9111bc2b8ec4c161576b42ad040f0050;215;МС;4,35
fd9535ed58dd10746a39205a4479da1e;212;МФ;4,88
7f5cbfbeafa171bd0de427c546531e3f;215;АЯ;4,05
0479c00d1f53292e47c8af43595584a5;212;ВМ;4,06
70a9e6532f09038c6d9aed8b10951757;204;СП;4,11
88f43e94018de7a86ddc1a288c87bcb5;202;МК;3,53
c903bafa9cb1ad822fcfc0d117cd1fb9;206;ИИТ;4,41
f47a22d001c703b04411034175c6faec;217;АЯ;4,44
85fd6bb64e12a79967257ce26ab81981;218;АЯ;3,95
54d0a78af9dad4d2c239fc73b43e7719;214;АНИ;2,88
4815492d6f0da4d456fae972be01402a;205;ММП;4,53
d327ba11ba949eaf6e5a34e1b9cb0e12;207;СА;4,29
18f7fb27e1b491faba885ded79653a57;215;МК;4,06
3af224bb12970ec50005941a46e6d875;204;МФ;3,18
006bdb1fe8d7dcdab3bf050b05b6e3ca;241;АЯ;4,33
0860984124ee488bb9a9147cb9e3ca6f;201;МФ;4,47
d89d76f2e13fdc43421b875809f92b54;212;МФ;4,47
d70920b1e979bc6bd552406bdeadce53;203;МС;3,74
a4d8617c094479734bf1f17388e64094;214;НДСиПУ;3,21
56de903453ef4023fc4568177c504899;241;СКИ;4,4
5388abac91579ef50a3e75845af58415;204;СА;3,61
cf34b3fdea8f5ef8f388e18bd03edd80;214;ИО;3,47
50b31923b8089d12579439288813afd6;202;АНИ;2,9
589beade884c73a770e380673bdaf833;209;МС;4,00
2399b33a69708740277bc4d02bc02162;241;СП;4,58
db41389d8f4966e935f4877d0548a857;209;МС;4,47
e89b4c5018fd62550f0303ea96913fce;215;СКИ;3,6
b342ddfcd9f81fe793791f0ae084ab91;213;ВМ;3,84
71f3a4505c5c200f646168956ba90d3e;213;ВМ;4,47
c7e089636084fb2dd99260817e1b57e8;213;ОУ;3,5
d693122211b80b61b2c63d8b3abb1190;205;МС;4,71
46353dfcfa69933e3d0c65e00a537225;212;СП;3,94
8824740cad7bc372ea0446913a0f0612;216;ОУ;4,88
8079ef384d945970b17364b91e126d9a;208;ИБ;3,38
4b06c9354ec4ae3e309a27dac0037614;211;ММП;4,76
b4abc365d1a297d0a7ad9e3f94055f16;211;ММП;4,5
c24b76f25d6752e6ffebab5f1995987e;212;ИО;4,11
826e38fbb4202c73c65fb2952c3c0f2f;208;МС;4,37
7895f6ffca7ca01972c4c9a1e13b5ebd;206;СП;4,44
ee76498b22c3bbdde753d0267f678fa7;215;ИБ;3,33
4b798195c06bcf8f1657468c0790bf97;207;МФ;3,09
73332ce5a4f7d5024654158cc4dbfd05;207;МС;4,12
f7c416dec6fbc236e573078ed0f3dc84;209;ИО;3,89
8edf1f7f995ced88532eef4e90ea8a02;213;ИБ;3,19
c4d1519bbbfec1049ee9bcd747e8074e;204;АЯ;4,24
fdf8105fb12810b2112219b0d5b01a04;202;АЯ;4,53
e7b04df4831a79be9da48e4726d5dd81;211;ВТМ;3,24
3e12953e49773f34653242f2110853b0;202;ИО;3,00
2acb14664a480aa7bbe2cce62f63d1af;215;АСВК;4,53
932fda9a1c4466cb6a264a2892cd53df;218;СА;3,65
2329bcf9906e24f50b5807af8290cda5;241;СКИ;4,32
7b5fe2786aded6bd30eed84d3ddb086c;217;АЯ;3,65
377ac815061dbfe03c92ead920adb187;207;АСВК;3,43
52c3b07289e118aff905ac0a88494aa1;211;СП;4,76
a8b0068370ed60e87246bde04084f6ff;206;ИИТ;4,53
1096aaf82765c027e0fda4761379f5e4;202;ИО;2,9
857d9d985ce1b1334717a6c690d22454;204;ИО;3,84
02a840929bda8a1745daf9e580a03e41;210;АСВК;4,29
43f3e6204d73325fc72d46c17a4a2933;216;ВМ;2,76
9ae7cfa7df16180d6f3748d9b0a9e7c6;218;НДСиПУ;4,06
13ba169e28c9f9c8bec6826e1bacbbfb;207;ИО;3,45
fbf5e7691407261bb92b5372565da60e;211;ОУ;3,33
d138c26bdc19dfc8900892532848b44a;210;АСВК;4,22
fdac1af887305ce284164106e54bb735;207;ИБ;4,53
d071402aa004410a27645f379994b5ad;205;ИИТ;3,65
c58ab39dbd8a5d77f617faa7c1290f3c;210;ВМ;4,18
a9facda6fd6091ceafc680ab85db392e;207;СП;4,82
cc5971a044a4b815b2e88dceee77aecf;209;МФ;3,14
e1e58b1cbc44cd19cf75c84b348baafb;217;АЯ;3,48
b7fc5a2829cc6067c6489891ca856720;209;ИО;3,00
8afef6b684dae65d523344ab0c923f2a;210;АЯ;4,00
810db0ff6f079dc7428971947b4b36a1;208;СП;4,53
a7ffd50646f4237e773c6875d12a1c12;203;СКИ;3,42
94b0e93390f9fbe6162f7996d1bc85f7;207;СКИ;4,11
adbf3ca3032c1b9d37aa3451675c1513;203;ВТМ;3,15
0b929a5ef388921874a26888985836c0;203;СА;4,94
4e56d2bd655d1a4ac3bbda30c1aa7795;211;ОУ;3,58
50ff6744807a8ed6e7c200c9f9dd436e;205;ОУ;4,18
e4b1f91ce6c11f06ce8b9a8ee3e50017;213;МФ;4,24
